datetime,type,gap_top,gap_bottom,gap_size,mitigated,mitigation_time,trend_at_creation,context
2024-11-29 07:00:00,Bullish,1.058089137077332,1.057641386985779,0.0004477500915529564,True,2024-11-29 08:00:00,Neutral,Counter-Trend / Reversal
2024-11-29 18:00:00,Bullish,1.057082533836365,1.0564124584198,0.0006700754165649414,True,2024-12-02 00:00:00,Neutral,Counter-Trend / Reversal
2024-11-29 19:00:00,Bullish,1.05752968788147,1.056970715522766,0.0005589723587040574,True,2024-12-02 00:00:00,Neutral,Counter-Trend / Reversal
2024-11-29 20:00:00,Bullish,1.05820107460022,1.058089137077332,0.00011193752288796155,True,2024-11-29 21:00:00,Neutral,Counter-Trend / Reversal
2024-11-29 22:00:00,Bearish,1.05820107460022,1.058089137077332,0.00011193752288796155,True,2024-12-05 14:00:00,Neutral,Counter-Trend / Reversal
2024-12-02 00:00:00,Bearish,1.058089137077332,1.054741144180298,0.0033479928970339135,True,2024-12-05 08:00:00,Neutral,Counter-Trend / Reversal
2024-12-02 01:00:00,Bearish,1.058089137077332,1.054185152053833,0.0039039850234989792,True,2024-12-04 15:00:00,Neutral,Counter-Trend / Reversal
2024-12-02 03:00:00,Bearish,1.053074955940247,1.052964091300964,0.00011086463928311474,True,2024-12-02 04:00:00,Neutral,Counter-Trend / Reversal
2024-12-02 08:00:00,Bearish,1.052520751953125,1.051303625106812,0.0012171268463130325,True,2024-12-02 09:00:00,Neutral,Counter-Trend / Reversal
2024-12-02 11:00:00,Bullish,1.05229926109314,1.052188515663147,0.00011074542999311987,True,2024-12-02 12:00:00,Neutral,Counter-Trend / Reversal
2024-12-02 13:00:00,Bearish,1.05229926109314,1.051635265350342,0.0006639957427980736,True,2024-12-02 14:00:00,Neutral,Counter-Trend / Reversal
2024-12-02 15:00:00,Bearish,1.050089240074158,1.048108100891113,0.0019811391830448777,True,2024-12-02 16:00:00,Neutral,Counter-Trend / Reversal
2024-12-02 17:00:00,Bullish,1.048437833786011,1.048108100891113,0.000329732894897905,True,2024-12-03 05:00:00,Neutral,Counter-Trend / Reversal
2024-12-02 21:00:00,Bullish,1.049978971481323,1.049648404121399,0.00033056735992409436,True,2024-12-02 22:00:00,Neutral,Counter-Trend / Reversal
2024-12-03 01:00:00,Bearish,1.050089240074158,1.049978971481323,0.00011026859283491675,True,2024-12-03 07:00:00,Neutral,Counter-Trend / Reversal
2024-12-03 08:00:00,Bullish,1.050309896469116,1.049648404121399,0.0006614923477170631,True,2024-12-03 15:00:00,Uptrend,Trend Continuation
2024-12-03 09:00:00,Bullish,1.051967144012451,1.051303625106812,0.0006635189056389823,True,2024-12-03 10:00:00,Downtrend,Counter-Trend / Reversal
2024-12-03 18:00:00,Bullish,1.052853226661682,1.052077889442444,0.0007753372192378372,True,2024-12-03 19:00:00,Uptrend,Trend Continuation
2024-12-03 20:00:00,Bearish,1.052853226661682,1.051524758338928,0.0013284683227539062,True,2024-12-03 22:00:00,Downtrend,Trend Continuation
2024-12-04 05:00:00,Bullish,1.051303625106812,1.050309896469116,0.0009937286376959786,True,2024-12-04 06:00:00,Uptrend,Trend Continuation
2024-12-04 09:00:00,Bearish,1.051082611083984,1.050751328468323,0.00033128261566095496,True,2024-12-04 10:00:00,Downtrend,Trend Continuation
2024-12-04 13:00:00,Bearish,1.050089240074158,1.049868822097778,0.00022041797637983862,True,2024-12-04 14:00:00,Downtrend,Trend Continuation
2024-12-04 15:00:00,Bullish,1.050861716270447,1.049868822097778,0.0009928941726689011,True,2024-12-04 20:00:00,Uptrend,Trend Continuation
2024-12-04 16:00:00,Bullish,1.05229926109314,1.049978971481323,0.0023202896118170724,True,2024-12-04 19:00:00,Uptrend,Trend Continuation
2024-12-04 20:00:00,Bearish,1.052410006523132,1.051856517791748,0.0005534887313840553,True,2024-12-04 21:00:00,Uptrend,Counter-Trend / Reversal
2024-12-05 14:00:00,Bullish,1.056859016418457,1.054185152053833,0.0026738643646240234,True,2024-12-05 15:00:00,Uptrend,Trend Continuation
2024-12-05 20:00:00,Bullish,1.058425068855286,1.057194232940674,0.0012308359146120385,True,2024-12-06 00:00:00,Uptrend,Trend Continuation
2024-12-06 01:00:00,Bearish,1.058761239051819,1.058089137077332,0.0006721019744870826,True,2024-12-06 02:00:00,Uptrend,Counter-Trend / Reversal
2024-12-06 15:00:00,Bearish,1.058313131332397,1.05752968788147,0.0007834434509270682,True,2024-12-06 16:00:00,Uptrend,Counter-Trend / Reversal
